portfolio_asset_id,group_id,canonical_name,country,state,aliases,preferred_place_id,roles,ownership_percentage,gla_sqm,tenancy_count,annual_visits_m,source_url,source_type,source_date,last_verified_at,confidence,status,public_note
cbus-macquarie-centre,group-cbus-property,Macquarie Centre,Australia,NSW,,place-au-nsw-macquarie-centre,CO_OWNER,,,,,https://cbusproperty.com.au/property/macquarie-centre/,Official property portfolio,2026-09-02,2026-09-02,High,ACTIVE,Cbus Property identifies Macquarie Centre as a current retail interest; percentage and other current co-owners remain under review
dexus-indooroopilly,group-dexus,Indooroopilly Shopping Centre,Australia,QLD,Indooroopilly,place-au-qld-indooroopilly,MANAGER|OPERATOR,,117318,280,,https://www.dexus.com/leasing/retail/properties/indooroopilly-shopping-centre.html,Official property and leasing profile,2026-09-02,2026-09-02,High,ACTIVE,Dexus publishes and leases the current property profile
dwsf-indooroopilly,group-dexus-wholesale-shopping-centre-fund,Indooroopilly Shopping Centre,Australia,QLD,Indooroopilly,place-au-qld-indooroopilly,CO_OWNER,25,117500,,,https://www.dexus.com/content/dam/dexus/documents/funds/dexus-core-property-fund-dcpf/performance/DCPF%20March%202025%20Quarterly%20Report.pdf,Official fund report,2025-03-31,2026-09-02,High,ACTIVE,Dexus fund reporting identifies a 25 percent ownership interest
adelaide-arcade-operator,group-adelaide-arcade,Adelaide Arcade,Australia,SA,,place-au-sa-adelaide-arcade,OPERATOR,,,,,https://adelaidearcade.com.au/contact/,Official centre website,2026-09-02,2026-09-02,High,ACTIVE,The official centre website identifies Adelaide Arcade management under the active Adelaide Arcade entity
adelaide-arcade-leasing,group-evans-ayers,Adelaide Arcade,Australia,SA,,place-au-sa-adelaide-arcade,EXTERNAL_LEASING_AGENT,,,,,https://adelaidearcade.com.au/wp-content/uploads/2025/06/Shop-146-Lease-.pdf,Official leasing brochure,2025-06-01,2026-09-02,High,ACTIVE,The official centre leasing brochure identifies Evans and Ayers as the leasing agent
vicinity-eastlands,group-vicinity,Eastlands,Australia,TAS,Hobart Eastlands,place-au-tas-hobart-eastlands,OWNER|MANAGER|OPERATOR,100,33463,,6.3,https://www.vicinity.com.au/portfolio/our-properties/eastlands,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 100 percent ownership interest and current centre facts
silverleaf-cat-fiddle,group-silverleaf-investments,Cat and Fiddle Arcade,Australia,TAS,The Cat & Fiddle Arcade,place-au-tas-the-cat-fiddle-arcade,MANAGER|LEASING_CONTROLLER,,,,,https://www.catandfiddlearcade.com/how-to-get-here/,Official centre website,2026-09-02,2026-09-02,High,ACTIVE,The official arcade website identifies Silverleaf for centre management and leasing enquiries
gpt-melbourne-central,group-gpt,Melbourne Central,Australia,VIC,Melbourne Central Shopping Centre,place-au-vic-melbourne-central-shopping-centre,OWNER|MANAGER|OPERATOR,100,55700,300,,https://www.gpt.com.au/property/retail/melbourne-central,Official property profile,2026-09-02,2026-09-02,High,ACTIVE,GPT reports 100 percent ownership and publishes the current centre profile
dexus-botany-town-centre,group-dexus,Botany Town Centre,New Zealand,Auckland,,place-nz-auckland-botany-town-centre,MANAGER|OPERATOR,,,175,,https://www.dexus.com/leasing/retail/properties/botany-town-centre.html,Official property and leasing profile,2026-09-02,2026-09-02,High,ACTIVE,Dexus publishes and leases the current property profile with more than 175 stores
precinct-commercial-bay,group-precinct-nz,Commercial Bay,New Zealand,Auckland,,place-nz-auckland-commercial-bay,OWNER|OPERATOR,100,,,,https://assets.precinct.co.nz/files/pct-fy26-interim-result-presentation..pdf,Official interim portfolio report,2025-12-31,2026-09-02,High,ACTIVE,Precinct identifies Commercial Bay retail in its directly held investment portfolio
dexus-bayfair,group-dexus,Bayfair Shopping Centre,New Zealand,Bay of Plenty,,place-nz-bay-of-plenty-bayfair-shopping-centre,MANAGER|OPERATOR,,42400,130,,https://www.dexus.com/investing/properties/bayfair-shopping-centre-mount-maunganui-tauranga.html,Official property and leasing profile,2026-09-02,2026-09-02,High,ACTIVE,Dexus publishes manages and leases the current property profile
dwsf-bayfair,group-dexus-wholesale-shopping-centre-fund,Bayfair Shopping Centre,New Zealand,Bay of Plenty,,place-nz-bay-of-plenty-bayfair-shopping-centre,CO_OWNER,50,42400,130,,https://www.dexus.com/investing/properties/bayfair-shopping-centre-mount-maunganui-tauranga.html,Official owner and fund profile,2026-09-02,2026-09-02,High,ACTIVE,Dexus reports the fund's 50 percent ownership interest
fisher-bayfair,group-fisher-fund,Bayfair Shopping Centre,New Zealand,Bay of Plenty,,place-nz-bay-of-plenty-bayfair-shopping-centre,CO_OWNER,,,,,https://www.dexus.com/investing/properties/bayfair-shopping-centre-mount-maunganui-tauranga.html,Official owner and fund profile,2026-09-02,2026-09-02,Medium,ACTIVE,Dexus identifies Fisher Fund as the co-owner; no percentage is asserted
stockland-green-hills,group-stockland,Stockland Green Hills,Australia,NSW,Green Hills Shopping Centre,place-au-nsw-stockland-green-hills-shopping-centre,MANAGER|OPERATOR,,74223,213,10.47,https://www.stockland.com.au/globalassets/retail-towncentres/nsw/green-hills/146025_fy25_leasingfactsheets_nsw_greenhills_rgb_1920x1080_mrweb.pdf,Official leasing fact sheet,2025-06-30,2026-09-02,High,ACTIVE,Stockland publishes and operates the current centre profile and scale metrics; ownership is not asserted by this row
qic-pacific-epping,group-qic,Pacific Epping,Australia,VIC,,place-au-vic-pacific-epping,MANAGER|OPERATOR,,89102,212,11.8,https://www.qicre.com/properties/pacific-epping,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
qic-pacific-werribee,group-qic,Pacific Werribee,Australia,VIC,Werribee Plaza,place-au-vic-werribee-plaza,MANAGER|OPERATOR,,109192,272,12.0,https://www.qicre.com/properties/pacific-werribee,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
stockland-burleigh-heads,group-stockland,Stockland Burleigh Heads,Australia,QLD,Burleigh Heads Stockland,place-au-qld-burleigh-heads-stockland,MANAGER|OPERATOR,,36417,99,4.41,https://www.stockland.com.au/globalassets/retail-towncentres/qld/burleigh-heads/home-page/leasing-fact-sheets_burleigh-heads.pdf,Official leasing fact sheet,2023-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and scale metrics; ownership is not asserted by this row
stockland-forster,group-stockland,Stockland Forster,Australia,NSW,Forster Stockland,place-au-nsw-forster-stockland,MANAGER|OPERATOR,,38428,65,4.04,https://www.stockland.com.au/globalassets/retail-towncentres/nsw/forster/home-page/146025_fy25_leasingfactsheets_nsw_forster_rgb_1920x1080_mrweb.pdf,Official leasing fact sheet,2024-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and scale metrics; ownership is not asserted by this row
stockland-shellharbour,group-stockland,Stockland Shellharbour,Australia,NSW,Shellharbour Stockland,place-au-nsw-shellharbour-stockland,MANAGER|OPERATOR,,86195,224,7.48,https://www.stockland.com.au/globalassets/retail-towncentres/nsw/shellharbour/home-page/leasing-fact-sheet_shellharbour.pdf,Official leasing fact sheet,2023-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and identifies it as a major regional town centre
stockland-merrylands,group-stockland,Stockland Merrylands,Australia,NSW,,place-au-nsw-stockland-merrylands,MANAGER|OPERATOR,,59500,180,10.89,https://www.stockland.com.au/globalassets/retail-towncentres/nsw/merrylands/home-page/leasing-fact-sheets_merrylands.pdf,Official leasing fact sheet,2023-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and scale metrics; ownership is not asserted by this row
stockland-rockhampton,group-stockland,Stockland Rockhampton,Australia,QLD,Stockland Rockhampton Shopping Centre,place-au-qld-stockland-rockhampton-shopping-centre,MANAGER|OPERATOR,,58966,159,6.60,https://www.stockland.com.au/globalassets/retail-towncentres/qld/rockhampton/home-page/146025_fy25_leasingfactsheets_qld_rockhampton_rgb_1920x1080_mrweb.pdf,Official leasing fact sheet,2024-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and scale metrics; ownership is not asserted by this row
stockland-wetherill-park,group-stockland,Stockland Wetherill Park,Australia,NSW,,place-au-nsw-stockland-wetherill-park,MANAGER|OPERATOR,,63870,184,8.33,https://www.stockland.com.au/globalassets/retail-towncentres/nsw/wetherill-park/home-page/Leasing-fact-sheets_Wetherill-Park.pdf,Official leasing fact sheet,2023-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and scale metrics; ownership is not asserted by this row
stockland-hervey-bay,group-stockland,Stockland Hervey Bay,Australia,QLD,Stocklands Hervey Bay,place-au-qld-stocklands-hervey-bay,MANAGER|OPERATOR,,36851,99,4.87,https://www.stockland.com.au/globalassets/retail-towncentres/qld/hervey-bay/home-page/146025_fy25_leasingfactsheets_qld_herveybay_rgb_1920x1080_mrweb.pdf,Official leasing fact sheet,2024-06-30,2026-09-02,High,ACTIVE,Stockland publishes the centre profile and identifies it as sub-regional
haben-townsville,group-haben,Townsville Shopping Centre,Australia,QLD,Stockland Townsville,place-au-qld-stockland-townsville,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,,44982,150,,https://haben.com.au/properties/townsville-shopping-centre,Official current owner and leasing portfolio,2026-09-02,2026-09-02,High,ACTIVE,Haben lists the purchased asset in its current portfolio and provides leasing opportunities through the property profile
riverton-fund-owner,group-riverton-forum-fund,Riverton Forum,Australia,WA,Stockland Riverton,place-au-wa-riverton-stockland,OWNER,,19108,40,,https://www.elanorinvestors.com/investments/asset/riverton-forum,Official investment portfolio,2026-09-02,2026-09-02,High,ACTIVE,Elanor identifies Riverton Forum as the sole asset of the Riverton Forum Fund
riverton-jll-manager,group-jll,Riverton Forum,Australia,WA,Stockland Riverton,place-au-wa-riverton-stockland,MANAGER,,,,,https://rivertonforum.com.au/contact/,Official centre website,2026-09-02,2026-09-02,High,ACTIVE,The current official centre contact page identifies JLL for centre management
riverton-total-retail-leasing,group-total-retail-group,Riverton Forum,Australia,WA,Stockland Riverton,place-au-wa-riverton-stockland,EXTERNAL_LEASING_AGENT,,,,,https://rivertonforum.com.au/contact/,Official centre website,2026-09-02,2026-09-02,High,ACTIVE,The current official centre contact page identifies Total Retail Group as leasing agency
haben-westpoint,group-haben,Westpoint Shopping Centre,Australia,NSW,Westpoint|Blacktown Westpoint,place-au-nsw-westpoint-shopping-centre,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,,109234,270,,https://haben.com.au/properties/westpoint-shopping-centre,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-forest-hill-chase,group-haben,Forest Hill Chase,Australia,VIC,,place-au-vic-forest-hill-chase,MANAGER|OPERATOR|LEASING_CONTROLLER,,59825,111,,https://haben.com.au/properties/forest-hill-chase,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-wollongong-central,group-haben,Wollongong Central,Australia,NSW,,place-au-nsw-wollongong-central,MANAGER|OPERATOR|LEASING_CONTROLLER,,54428,168,,https://haben.com.au/properties/wollongong-central,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-croydon-central,group-haben,Croydon Central,Australia,VIC,,place-au-unknown-croydon-central,MANAGER|OPERATOR|LEASING_CONTROLLER,,11302,34,,https://haben.com.au/properties/croydon-central,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-seven-hills-plaza,group-haben,Seven Hills Plaza,Australia,NSW,,place-au-nsw-seven-hills-plaza,MANAGER|OPERATOR|LEASING_CONTROLLER,,20986,77,,https://haben.com.au/properties/seven-hills-plaza,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-wallsend-village,group-haben,Wallsend Village,Australia,NSW,Stockland Wallsend,place-au-nsw-wallsend-village,MANAGER|OPERATOR|LEASING_CONTROLLER,,11607,41,,https://haben.com.au/properties/wallsend-village,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-casey-central,group-haben,Casey Central,Australia,VIC,Casey Central Shopping Centre,place-au-vic-casey-central-shopping-centre,MANAGER|OPERATOR|LEASING_CONTROLLER,,31354,90,,https://haben.com.au/properties/casey-central,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-jesmond-central,group-haben,Jesmond Central,Australia,NSW,,place-au-unknown-jesmond-central,MANAGER|OPERATOR|LEASING_CONTROLLER,,20262,63,,https://haben.com.au/properties/jesmond-central,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-the-pines,group-haben,The Pines Shopping Centre,Australia,VIC,The Pines Doncaster East,place-au-vic-doncaster-east-the-pines-shopping-centre,MANAGER|OPERATOR|LEASING_CONTROLLER,,23053,89,,https://haben.com.au/properties/the-pines-shopping-centre,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-caloundra,group-haben,Caloundra Shopping Centre,Australia,QLD,,place-au-qld-caloundra-shopping-centre,MANAGER|OPERATOR|LEASING_CONTROLLER,,17646,49,,https://haben.com.au/properties/caloundra-shopping-centre,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-cleveland-central,group-haben,Cleveland Central,Australia,QLD,Cleveland Shopping Centre,place-au-qld-cleveland-shopping-centre,MANAGER|OPERATOR|LEASING_CONTROLLER,,15699,57,,https://haben.com.au/properties/cleveland-central,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
haben-station-oxley,group-haben,The Station Oxley,Australia,QLD,The Oxley Station,place-au-qld-the-station-oxley,MANAGER|OPERATOR|LEASING_CONTROLLER,,7071,16,,https://haben.com.au/properties/the-station-oxley,Official current portfolio property profile,2026-09-02,2026-09-02,High,ACTIVE,Haben publishes the current centre profile plus property management and leasing enquiry paths
vicinity-chatswood-chase,group-vicinity,Chatswood Chase,Australia,NSW,,place-au-nsw-chatswood-chase,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,,,,https://www.vicinity.com.au/portfolio/our-properties/chatswood-chase,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports full ownership plus current management and leasing paths
vicinity-bankstown-central,group-vicinity,Bankstown Central,Australia,NSW,,place-au-nsw-bankstown-central,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,78575,,14.5,https://www.vicinity.com.au/portfolio/our-properties/bankstown-central,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-mandurah-forum,group-vicinity,Mandurah Forum,Australia,WA,,place-au-wa-mandurah-forum,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,65415,,6.6,https://www.vicinity.com.au/portfolio/our-properties/mandurah-forum,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-nepean-village,group-vicinity,Nepean Village,Australia,NSW,,place-au-nsw-nepean-village,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,23149,,5.7,https://www.vicinity.com.au/portfolio/our-properties/nepean-village,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports full ownership plus current management and leasing paths
vicinity-cranbourne-park,group-vicinity,Cranbourne Park,Australia,VIC,Cranbourne Park Shopping Centre,place-au-vic-cranbourne-park-shopping-centre-sp107,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,46200,,6.3,https://www.vicinity.com.au/portfolio/our-properties/cranbourne-park,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-lakeside-joondalup,group-vicinity,Lakeside Joondalup,Australia,WA,Joondalup Lakeside Shopping City,place-au-wa-joondalup-lakeside-s-city,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,100234,,10.6,https://www.vicinity.com.au/portfolio/our-properties/lakeside-joondalup,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-rockingham-centre,group-vicinity,Rockingham Centre,Australia,WA,,place-au-wa-rockingham-centre,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,61965,,7.4,https://www.vicinity.com.au/portfolio/our-properties/rockingham-centre,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-broadmeadows-central,group-vicinity,Broadmeadows Central,Australia,VIC,Broadmeadows Shopping Centre,place-au-vic-broadmeadows-shopping-centre,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,55601,,8.1,https://www.vicinity.com.au/portfolio/our-properties/broadmeadows-central,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths; the other owner remains a distinct unnamed private investor
vicinity-altona-gate,group-vicinity,Altona Gate,Australia,VIC,Altona Gate Shopping Centre,place-au-vic-altona-gate-shopping-centre,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,25223,,3.6,https://www.vicinity.com.au/portfolio/our-properties/altona-gate,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports full ownership plus current management and leasing paths
vicinity-elizabeth-city-centre,group-vicinity,Elizabeth City Centre,Australia,SA,Elizabeth Shopping Centre,place-au-sa-elizabeth-shopping-centre,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,79981,,7.0,https://www.vicinity.com.au/portfolio/our-properties/elizabeth-city-centre,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths; the other owner remains a distinct unnamed private investor
vicinity-grand-plaza,group-vicinity,Grand Plaza,Australia,QLD,Browns Plains Grand Plaza,place-au-qld-browns-plains-grand-plaza-shopping-centre,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,53190,,7.9,https://www.vicinity.com.au/portfolio/our-properties/grand-plaza,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-castle-plaza,group-vicinity,Castle Plaza,Australia,SA,Edwardstown Castle Plaza,place-au-sa-edwardstown-castle-plaza-shopping-centre,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,22759,,3.3,https://www.vicinity.com.au/portfolio/our-properties/castle-plaza,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports full ownership plus current management and leasing paths
vicinity-victoria-gardens,group-vicinity,Victoria Gardens Shopping Centre,Australia,VIC,,place-au-vic-victoria-gardens-shopping-centre,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,37982,,6.5,https://www.vicinity.com.au/portfolio/our-properties/victoria-gardens-shopping-centre,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
vicinity-sunshine-marketplace,group-vicinity,Sunshine Marketplace,Australia,VIC,,place-au-vic-sunshine-marketplace,CO_OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,50,34014,,5.2,https://www.vicinity.com.au/portfolio/our-properties/sunshine-marketplace,Official current property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent interest plus current management and leasing paths
dexus-ocean-keys,group-dexus,Ocean Keys Shopping Centre,Australia,WA,Clarkson Ocean Keys Shopping Centre,place-au-wa-clarkson-ocean-keys-shopping-centre,MANAGER|OPERATOR|LEASING_CONTROLLER,,35892,120,,https://www.dexus.com/leasing/retail/properties/ocean-keys-shopping-centre.html,Official current property and leasing profile,2026-06-30,2026-09-02,High,ACTIVE,Dexus publishes and directly handles leasing for the current centre profile
dwsf-ocean-keys,group-dexus-wholesale-shopping-centre-fund,Ocean Keys Shopping Centre,Australia,WA,Clarkson Ocean Keys Shopping Centre,place-au-wa-clarkson-ocean-keys-shopping-centre,OWNER,100,38500,,,https://www.dexus.com/content/dam/dexus/documents/funds/dexus-core-property-fund-dcpf/performance/DCPF%20March%202025%20Quarterly%20Report.pdf,Official fund report corroborated by current Dexus fund page,2025-03-31,2026-09-02,High,ACTIVE,Dexus fund reporting identifies DWSF as the sole owner and the current fund page retains Ocean Keys
dexus-royal-randwick,group-dexus,Royal Randwick Shopping Centre,Australia,NSW,,place-au-nsw-royal-randwick-shopping-centre,MANAGER|OPERATOR|LEASING_CONTROLLER,,14900,50,,https://www.dexus.com/leasing/retail/properties/royal-randwick-shopping-centre.html,Official current property and leasing profile,2026-06-30,2026-09-02,High,ACTIVE,Dexus publishes and directly handles leasing for the current centre profile
dwsf-royal-randwick,group-dexus-wholesale-shopping-centre-fund,Royal Randwick Shopping Centre,Australia,NSW,,place-au-nsw-royal-randwick-shopping-centre,OWNER,100,15000,,,https://www.dexus.com/content/dam/dexus/documents/funds/dexus-core-property-fund-dcpf/performance/DCPF%20March%202025%20Quarterly%20Report.pdf,Official fund report corroborated by current Dexus fund page,2025-03-31,2026-09-02,High,ACTIVE,Dexus fund reporting identifies DWSF as the sole owner and the current fund page retains Royal Randwick
dwsf-westfield-liverpool,group-dexus-wholesale-shopping-centre-fund,Westfield Liverpool,Australia,NSW,,place-au-nsw-westfield-liverpool,CO_OWNER,50,83000,,,https://www.dexus.com/content/dam/dexus/documents/funds/dexus-core-property-fund-dcpf/performance/DCPF%20March%202025%20Quarterly%20Report.pdf,Official fund report,2025-03-31,2026-09-02,High,ACTIVE,Dexus fund reporting identifies DWSF as the 50 percent co-owner alongside Scentre Group
dwpf-indooroopilly,group-dexus-wholesale-property-fund,Indooroopilly Shopping Centre,Australia,QLD,Indooroopilly,place-au-qld-indooroopilly,CO_OWNER,25,117500,,,https://www.dexus.com/content/dam/dexus/common/project/dexus/dexuscom/files/articles/crs-reports/2024/2024-dexus-annual-report.pdf,Official annual report corroborated by current Dexus property page,2024-06-30,2026-09-02,High,ACTIVE,Dexus reports DWPF holds a 25 percent interest alongside DWSF
stockland-fy26-piccadilly,group-stockland,Stockland Piccadilly,Australia,NSW,Piccadilly Sydney CBD,,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,2983,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 portfolio asset; canonical place match remains under review
stockland-fy26-shellharbour-retail-park,group-stockland,Shellharbour Retail Park,Australia,NSW,,,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,22233,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 portfolio asset; canonical place match remains under review
stockland-fy26-baringa,group-stockland,Stockland Baringa,Australia,QLD,,,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,6972,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 portfolio asset; canonical place match remains under review
stockland-fy26-birtinya,group-stockland,Stockland Birtinya,Australia,QLD,,place-au-unknown-stockland-birtinya,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,18281,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Stockland reports full ownership in its current FY26 portfolio and handles retail leasing through its public enquiry channel
stockland-fy26-point-cook,group-stockland,Stockland Point Cook,Australia,VIC,Point Cook Town Centre,place-au-vic-point-cook-town-centre,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,43455,109,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio corroborated by official leasing fact sheet,2026-06-30,2026-09-02,High,ACTIVE,Stockland reports full ownership in FY26; the official leasing fact sheet supplies the current centre scale context
stockland-fy26-wendouree,group-stockland,Stockland Wendouree,Australia,VIC,,place-au-vic-wendouree-stockland,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,28257,103,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio corroborated by official leasing fact sheet,2026-06-30,2026-09-02,High,ACTIVE,Stockland reports full ownership in FY26; the official leasing fact sheet explicitly classifies this as sub-regional
stockland-fy26-baldivis,group-stockland,Stockland Baldivis,Australia,WA,,place-au-wa-stockland-baldivis,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,33068,79,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio corroborated by official centre material,2026-06-30,2026-09-02,High,ACTIVE,Stockland reports full ownership in FY26; official centre material identifies more than 75 specialty stores plus four major anchors
stockland-fy26-harrisdale,group-stockland,Stockland Harrisdale,Australia,WA,Harrisdale Stockland Shopping Centre,place-au-wa-harrisdale-stockland-shopping-centre,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,14439,33,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio corroborated by official leasing fact sheet,2026-06-30,2026-09-02,High,ACTIVE,Stockland reports full ownership in FY26; the official leasing fact sheet supplies the neighbourhood-scale tenant mix
stockland-fy26-gables,group-stockland,Stockland Gables,Australia,NSW,Stockland The Gables,,CO_OWNER,30,9342,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 partnership asset; canonical place match remains under review
stockland-fy26-providence,group-stockland,Stockland Providence,Australia,QLD,,,CO_OWNER,30,8141,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 partnership asset; canonical place match remains under review
stockland-fy26-sienna-wood,group-stockland,Stockland Sienna Wood,Australia,WA,,,CO_OWNER,50,6093,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 partnership asset; canonical place match remains under review
stockland-fy26-aura-stage-1,group-stockland,Aura Stage 1,Australia,QLD,Stockland Aura,,OWNER,100,16300,,,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-06-30,2026-09-02,High,ACTIVE,Current FY26 retail development; no active canonical shopping-centre relationship is asserted
gpt-current-charlestown,group-gpt,Charlestown Square,Australia,NSW,,place-au-nsw-charlestown-square,OWNER|MANAGER|OPERATOR|LEASING_CONTROLLER,100,91200,280,,https://www.gpt.com.au/property/retail/charlestown-square,Official current property profile,2026-09-02,2026-09-02,High,ACTIVE,GPT reports full ownership and publishes the current centre profile and leasing pathway
